Geo,Year,CarSvcLevel
S410430203001,2010,Low
S410430203002,2010,Low
S410430203004,2010,Low
S410430204001,2010,Low
S410430205001,2010,Low
S410430206003,2010,Low
S410430207001,2010,Low
S410430208023,2010,Low
S410030101001,2010,Low
S410030101002,2010,Low
S410030101003,2010,Low
S410030101004,2010,Low
S410470108021,2010,Low
S410470108022,2010,Low
S410470108023,2010,Low
S410470108024,2010,Low
S410430203001,2040,Low
S410430203002,2040,Low
S410430203004,2040,Low
S410430204001,2040,Low
S410430205001,2040,Low
S410430206003,2040,Low
S410430207001,2040,Low
S410430208023,2040,Low
S410030101001,2040,High
S410030101002,2040,High
S410030101003,2040,High
S410030101004,2040,High
S410470108021,2040,High
S410470108022,2040,High
S410470108023,2040,Low
S410470108024,2040,Low
