Geo,Year,TotEmp,RetEmp,SvcEmp
S410430203001,2010,424,113,151
S410430203002,2010,479,6,26
S410430203004,2010,1605,39,34
S410430204001,2010,866,55,206
S410430205001,2010,1945,25,1065
S410430206003,2010,1413,424,360
S410430207001,2010,1405,5,973
S410430208023,2010,694,37,546
S410030101001,2010,3582,385,1091
S410030101002,2010,1790,180,1578
S410030101003,2010,2251,134,341
S410030101004,2010,856,141,488
S410470108021,2010,3018,1635,967
S410470108022,2010,2193,1243,587
S410470108023,2010,605,170,322
S410470108024,2010,110,6,69
S410430203001,2040,581,155,207
S410430203002,2040,755,10,63
S410430203004,2040,3149,57,65
S410430204001,2040,1174,65,331
S410430205001,2040,2881,36,1210
S410430206003,2040,2703,911,673
S410430207001,2040,2653,510,1244
S410430208023,2040,873,47,644
S410030101001,2040,4412,491,1442
S410030101002,2040,2108,205,1832
S410030101003,2040,3295,247,532
S410030101004,2040,1157,161,593
S410470108021,2040,3865,1965,1385
S410470108022,2040,3211,1511,1076
S410470108023,2040,1085,479,444
S410470108024,2040,123,6,76
