Geo,Year,Latitude,Longitude
S410430203001,2010,44.72129138,-123.0078497
S410430203002,2010,44.69929058,-123.0708095
S410430203004,2010,44.66598952,-123.0700595
S410430204001,2010,44.5466979,-123.1105003
S410430205001,2010,44.58250642,-123.1097128
S410430206003,2010,44.63554117,-123.0457923
S410430207001,2010,44.5998429,-123.0865735
S410430208023,2010,44.60884558,-123.1218545
S410030101001,2010,44.63694941,-123.099506
S410030101002,2010,44.62756366,-123.1196511
S410030101003,2010,44.62068036,-123.1035375
S410030101004,2010,44.6176375,-123.0820274
S410470108021,2010,44.62789469,-123.0767556
S410470108022,2010,44.63814602,-123.0752213
S410470108023,2010,44.64891777,-123.1173153
S410470108024,2010,44.66729154,-123.1367156
S410430203001,2040,44.72129138,-123.0078497
S410430203002,2040,44.69929058,-123.0708095
S410430203004,2040,44.66598952,-123.0700595
S410430204001,2040,44.5466979,-123.1105003
S410430205001,2040,44.58250642,-123.1097128
S410430206003,2040,44.63554117,-123.0457923
S410430207001,2040,44.5998429,-123.0865735
S410430208023,2040,44.60884558,-123.1218545
S410030101001,2040,44.63694941,-123.099506
S410030101002,2040,44.62756366,-123.1196511
S410030101003,2040,44.62068036,-123.1035375
S410030101004,2040,44.6176375,-123.0820274
S410470108021,2040,44.62789469,-123.0767556
S410470108022,2040,44.63814602,-123.0752213
S410470108023,2040,44.64891777,-123.1173153
S410470108024,2040,44.66729154,-123.1367156
