Geo,Year,MixUseProp
S410430203001,2010,NA
S410430203002,2010,NA
S410430203004,2010,NA
S410430204001,2010,NA
S410430205001,2010,NA
S410430206003,2010,NA
S410430207001,2010,NA
S410430208023,2010,NA
S410030101001,2010,NA
S410030101002,2010,NA
S410030101003,2010,NA
S410030101004,2010,NA
S410470108021,2010,NA
S410470108022,2010,NA
S410470108023,2010,NA
S410470108024,2010,NA
S410430203001,2040,NA
S410430203002,2040,NA
S410430203004,2040,NA
S410430204001,2040,NA
S410430205001,2040,NA
S410430206003,2040,NA
S410430207001,2040,NA
S410430208023,2040,NA
S410030101001,2040,NA
S410030101002,2040,NA
S410030101003,2040,NA
S410030101004,2040,NA
S410470108021,2040,NA
S410470108022,2040,NA
S410470108023,2040,NA
S410470108024,2040,NA
