Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Albany,1990,0,0,1,0,0,0,0,0
Albany,1995,0,0,1,0,0,0,0,0
Albany,2000,0,0,1,0,0,0,0,0
Albany,2005,0,0,1,0,0,0,0,0
Albany,2010,0,0,1,0,0,0,0,0
Albany,2015,318583.8502,0,566141.51,0,0,0,0,0
Albany,2020,375029.177,0,666448.0464,0,0,0,0,0
Albany,2025,431474.5039,0,766754.5829,0,0,0,0,0
Albany,2030,487919.8308,0,867061.1193,0,0,0,0,0
Albany,2035,544365.1576,0,967367.6558,0,0,0,0,0
Albany,2040,600810.4845,0,1067674.192,0,0,0,0,0
Albany,2045,657255.8114,0,1167980.729,0,0,0,0,0
Albany,2050,713701.1383,0,1268287.265,0,0,0,0,0
Bend,1990,0,0,1,0,0,0,0,0
Bend,1995,0,0,1,0,0,0,0,0
Bend,2000,0,0,1,0,0,0,0,0
Bend,2005,0,0,1,0,0,0,0,0
Bend,2010,121896.3528,0,122258.0787,153762.1606,0,0,0,0
Bend,2015,243792.7055,0,244516.1574,307524.3211,0,0,0,0
Bend,2020,346574.4489,0,347602.9044,437174.984,0,0,0,0
Bend,2025,449356.1924,0,450689.6514,566825.6468,0,0,0,0
Bend,2030,552137.9358,0,553776.3984,696476.3097,0,0,0,0
Bend,2035,654919.6792,0,656863.1454,826126.9726,0,0,0,0
Bend,2040,757701.4227,0,759949.8924,955777.6354,0,0,0,0
Bend,2045,860483.1661,0,863036.6394,1085428.298,0,0,0,0
Bend,2050,963264.9095,0,966123.3864,1215078.961,0,0,0,0
Corvallis,1990,0,0,1,0,0,0,0,0
Corvallis,1995,0,0,1,0,0,0,0,0
Corvallis,2000,0,0,1,0,0,0,0,0
Corvallis,2005,0,0,1,0,0,0,0,0
Corvallis,2010,151978.9508,0,222896.4317,51146.9797,0,0,0,0
Corvallis,2015,303957.9016,0,445792.8633,102293.9594,0,0,0,0
Corvallis,2020,397810.3438,0,583439.3884,133879.0502,0,0,0,0
Corvallis,2025,491662.7859,0,721085.9134,165464.1409,0,0,0,0
Corvallis,2030,585515.2281,0,858732.4385,197049.2317,0,0,0,0
Corvallis,2035,679367.6703,0,996378.9636,228634.3224,0,0,0,0
Corvallis,2040,773220.1125,0,1134025.489,260219.4132,0,0,0,0
Corvallis,2045,867072.5546,0,1271672.014,291804.504,0,0,0,0
Corvallis,2050,960924.9968,0,1409318.539,323389.5947,0,0,0,0
EugeneSpringfield,1990,421364.8265,0,3310461.681,0,0,0,0,0
EugeneSpringfield,1995,453147,0,3560159,0,0,0,0,0
EugeneSpringfield,2000,524944,0,3854315,0,0,0,0,0
EugeneSpringfield,2005,632442,17025,3255960,0,0,0,0,0
EugeneSpringfield,2010,2062417.971,194962.1587,2744032.956,169940.0183,0,0,0,0
EugeneSpringfield,2015,3492393.943,372899.3174,2232105.912,339880.0366,0,0,0,0
EugeneSpringfield,2020,4088733.999,436573.3483,2613246.81,397915.895,0,0,0,0
EugeneSpringfield,2025,4685074.056,500247.3793,2994387.709,455951.7534,0,0,0,0
EugeneSpringfield,2030,5281414.113,563921.4103,3375528.608,513987.6118,0,0,0,0
EugeneSpringfield,2035,5877754.169,627595.4412,3756669.506,572023.4702,0,0,0,0
EugeneSpringfield,2040,6474094.226,691269.4722,4137810.405,630059.3286,0,0,0,0
EugeneSpringfield,2045,7070434.283,754943.5032,4518951.304,688095.187,0,0,0,0
EugeneSpringfield,2050,7666774.339,818617.5341,4900092.202,746131.0454,0,0,0,0
GrantsPass,1990,0,0,1,0,0,0,0,0
GrantsPass,1995,0,0,1,0,0,0,0,0
GrantsPass,2000,0,0,1,0,0,0,0,0
GrantsPass,2005,0,0,1,0,0,0,0,0
GrantsPass,2010,0,0,1,0,0,0,0,0
GrantsPass,2015,92951.78456,0,195549.478,213354.2775,0,0,0,0
GrantsPass,2020,107771.3863,0,226726.5597,247370.0356,0,0,0,0
GrantsPass,2025,122590.988,0,257903.6414,281385.7937,0,0,0,0
GrantsPass,2030,137410.5897,0,289080.7231,315401.5518,0,0,0,0
GrantsPass,2035,152230.1914,0,320257.8048,349417.3099,0,0,0,0
GrantsPass,2040,167049.7931,0,351434.8864,383433.068,0,0,0,0
GrantsPass,2045,181869.3948,0,382611.9681,417448.8261,0,0,0,0
GrantsPass,2050,196688.9965,0,413789.0498,451464.5842,0,0,0,0
Metro,1990,3699357.013,0,18374077.5,0,0,0,1365583.69,0
Metro,1995,4276368,0,21239993,0,0,0,1578582,0
Metro,2000,4894400,0,22865790,0,0,0,5052156,0
Metro,2005,6252536,0,24349017,0,0,0,3984245,0
Metro,2010,7855611.851,214238.4398,24922409.42,426509.301,0,192636.4132,6199278.508,103824.2639
Metro,2015,9458687.702,428476.8796,25495801.84,853018.6021,0,385272.8264,8414312.016,207648.5279
Metro,2020,14196435.87,643096.0336,38266356.52,1280285.835,0,578251.5657,12628944.38,311657.2936
Metro,2025,18934184.04,857715.1875,51036911.2,1707553.068,0,771230.305,16843576.75,415666.0592
Metro,2030,23671932.21,1072334.341,63807465.88,2134820.3,0,964209.0443,21058209.12,519674.8249
Metro,2035,28409680.38,1286953.495,76578020.56,2562087.533,0,1157187.784,25272841.49,623683.5906
Metro,2040,33147428.55,1501572.649,89348575.23,2989354.766,0,1350166.523,29487473.86,727692.3563
Metro,2045,37885176.72,1716191.803,102119129.9,3416621.999,0,1543145.262,33702106.22,831701.1219
Metro,2050,42622924.89,1930810.957,114889684.6,3843889.232,0,1736124.001,37916738.59,935709.8876
RogueValley,1990,180886.7957,0,295148.392,0,0,0,0,0
RogueValley,1995,215668,0,351900,0,0,0,0,0
RogueValley,2000,191520,0,548856,0,0,0,0,0
RogueValley,2005,270555,0,645168,0,0,0,0,0
RogueValley,2010,878841.4541,0,1440191.597,0,0,0,0,0
RogueValley,2015,1487127.908,0,2235215.193,0,0,0,0,0
RogueValley,2020,1844377.358,0,2772175.997,0,0,0,0,0
RogueValley,2025,2201626.807,0,3309136.801,0,0,0,0,0
RogueValley,2030,2558876.256,0,3846097.605,0,0,0,0,0
RogueValley,2035,2916125.706,0,4383058.409,0,0,0,0,0
RogueValley,2040,3273375.155,0,4920019.212,0,0,0,0,0
RogueValley,2045,3630624.605,0,5456980.016,0,0,0,0,0
RogueValley,2050,3987874.054,0,5993940.82,0,0,0,0,0
SalemKeizer,1990,0,0,1611259.73,0,0,0,0,0
SalemKeizer,1995,0,0,1869484,0,0,0,0,0
SalemKeizer,2000,282970,0,2089009,0,0,0,0,0
SalemKeizer,2005,1033835,36320,2617061,0,0,0,0,0
SalemKeizer,2010,3352343.829,337035.5462,2407017.444,0,0,0,0,0
SalemKeizer,2015,5670852.658,637751.0923,2196973.887,0,0,0,0,0
SalemKeizer,2020,6931931.887,779573.6196,2685535.009,0,0,0,0,0
SalemKeizer,2025,8193011.116,921396.1469,3174096.131,0,0,0,0,0
SalemKeizer,2030,9454090.344,1063218.674,3662657.252,0,0,0,0,0
SalemKeizer,2035,10715169.57,1205041.201,4151218.374,0,0,0,0,0
SalemKeizer,2040,11976248.8,1346863.729,4639779.496,0,0,0,0,0
SalemKeizer,2045,13237328.03,1488686.256,5128340.617,0,0,0,0,0
SalemKeizer,2050,14498407.26,1630508.783,5616901.739,0,0,0,0,0
None,1990,0,0,0,0,0,0,0,0
None,1995,0,0,0,0,0,0,0,0
None,2000,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0
None,2015,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0
