Geo,Year,CenterPkgSpacesPerSFDU,InnerPkgSpacesPerSFDU,OuterPkgSpacesPerSFDU,CenterPkgSpacesPerMFDU,InnerPkgSpacesPerMFDU,OuterPkgSpacesPerMFDU,CenterPkgSpacesPerGQ,InnerPkgSpacesPerGQ,OuterPkgSpacesPerGQ
Metro,2010,6.31815118,8.604818048,6.705078125,3.230768341,5.311685498,9.56496813,1.949149502,2.477510738,4.697667699
Bend,2010,5.946667,5.400183,5.634882,3.177576,3.131902,2.87973,1.504242,1.510652,1.418341
Corvallis,2010,4.85,5.31,5.55,2.59,3.02,2.85,1.42,1.48,1.41
EugeneSpringfield,2010,5.16,5.29,5.53,2.66,3.15,2.87,1.58,1.52,1.42
RogueValley,2010,4.9,5.48,7.05,2.56,3.31,3.67,1.41,1.61,1.81
SalemKeizer,2010,5.07,5.37,5.54,2.7,3.07,2.85,1.51,1.49,1.41
Albany,2010,5.02,5.13,5.65,2.83,3.13,2.9,1.47,1.53,1.42
GrantsPass,2010,4.8,5.64,5.61,2.5,3.19,2.87,1.4,1.51,1.41
None,2010,5.02,5.13,5.65,2.83,3.13,2.9,1.47,1.53,1.42
